DEBUG - start
DEBUG - matplotlib data path: C:\Users\tatsa\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\mpl-data
DEBUG - CONFIGDIR=C:\Users\tatsa\.matplotlib
DEBUG - interactive is False
DEBUG - platform is win32
DEBUG - CACHEDIR=C:\Users\tatsa\.matplotlib
DEBUG - Using fontManager instance from C:\Users\tatsa\.matplotlib\fontlist-v330.json
DEBUG - 2014-04-17 - Close price: 13.208000183105469
DEBUG - 2014-04-21 - Close price: 13.625332832336426
DEBUG - 2014-04-22 - Close price: 14.576000213623049
INFO - 2014-04-22 - Sell @ 14.576000213623049
DEBUG - 2014-04-23 - Close price: 13.866000175476074
DEBUG - 2014-04-24 - Close price: 13.857333183288574
INFO - 2014-04-24 - Buy @ 13.857333183288574
DEBUG - 2014-04-25 - Close price: 13.32333278656006
INFO - 2014-04-25 - Buy @ 13.32333278656006
DEBUG - 2014-04-28 - Close price: 13.234000205993652
INFO - 2014-04-28 - Buy @ 13.234000205993652
DEBUG - 2014-04-29 - Close price: 13.79466724395752
DEBUG - 2014-04-30 - Close price: 13.859333038330078
INFO - 2014-04-30 - Sell @ 13.859333038330078
DEBUG - 2014-05-01 - Close price: 13.84866714477539
DEBUG - 2014-05-02 - Close price: 14.060667037963867
DEBUG - 2014-05-05 - Close price: 14.440667152404783
INFO - 2014-05-05 - Sell @ 14.440667152404783
DEBUG - 2014-05-06 - Close price: 13.8186674118042
DEBUG - 2014-05-07 - Close price: 13.423333168029783
INFO - 2014-05-07 - Buy @ 13.423333168029783
DEBUG - 2014-05-08 - Close price: 11.906000137329102
INFO - 2014-05-08 - Buy @ 11.906000137329102
DEBUG - 2014-05-09 - Close price: 12.150667190551758
DEBUG - 2014-05-12 - Close price: 12.31133270263672
INFO - 2014-05-12 - Sell @ 12.31133270263672
DEBUG - 2014-05-13 - Close price: 12.677332878112791
INFO - 2014-05-13 - Sell @ 12.677332878112791
DEBUG - 2014-05-14 - Close price: 12.708000183105469
INFO - 2014-05-14 - Sell @ 12.708000183105469
DEBUG - 2014-05-15 - Close price: 12.572667121887209
DEBUG - 2014-05-16 - Close price: 12.77066707611084
DEBUG - 2014-05-19 - Close price: 13.072667121887209
INFO - 2014-05-19 - Sell @ 13.072667121887209
DEBUG - 2014-05-20 - Close price: 13.020000457763672
DEBUG - 2014-05-21 - Close price: 13.296667098999023
DEBUG - 2014-05-22 - Close price: 13.658666610717772
INFO - 2014-05-22 - Sell @ 13.658666610717772
DEBUG - 2014-05-23 - Close price: 13.81999969482422
INFO - 2014-05-23 - Sell @ 13.81999969482422
DEBUG - 2014-05-27 - Close price: 14.104000091552734
INFO - 2014-05-27 - Sell @ 14.104000091552734
DEBUG - 2014-05-28 - Close price: 14.015999794006348
DEBUG - 2014-05-29 - Close price: 14.015999794006348
DEBUG - 2014-05-30 - Close price: 13.851332664489746
DEBUG - 2014-06-02 - Close price: 13.646666526794434
INFO - 2014-06-02 - Buy @ 13.646666526794434
DEBUG - 2014-06-03 - Close price: 13.662667274475098
DEBUG - 2014-06-04 - Close price: 13.599332809448242
DEBUG - 2014-06-05 - Close price: 13.793333053588867
DEBUG - 2014-06-06 - Close price: 13.878000259399414
INFO - 2014-06-06 - Sell @ 13.878000259399414
DEBUG - 2014-06-09 - Close price: 13.687333106994627
DEBUG - 2014-06-10 - Close price: 13.486666679382324
INFO - 2014-06-10 - Buy @ 13.486666679382324
DEBUG - 2014-06-11 - Close price: 13.631333351135254
DEBUG - 2014-06-12 - Close price: 13.567999839782717
DEBUG - 2014-06-13 - Close price: 13.761333465576172
DEBUG - 2014-06-16 - Close price: 14.973999977111816
INFO - 2014-06-16 - Sell @ 14.973999977111816
DEBUG - 2014-06-17 - Close price: 15.444666862487791
INFO - 2014-06-17 - Sell @ 15.444666862487791
DEBUG - 2014-06-18 - Close price: 15.141332626342772
DEBUG - 2014-06-19 - Close price: 15.185999870300291
DEBUG - 2014-06-20 - Close price: 15.305999755859377
INFO - 2014-06-20 - Sell @ 15.305999755859377
DEBUG - 2014-06-23 - Close price: 15.814666748046877
INFO - 2014-06-23 - Sell @ 15.814666748046877
DEBUG - 2014-06-24 - Close price: 15.5
DEBUG - 2014-06-25 - Close price: 15.792667388916016
DEBUG - 2014-06-26 - Close price: 15.706666946411133
DEBUG - 2014-06-27 - Close price: 15.937333106994627
DEBUG - 2014-06-30 - Close price: 16.003999710083008
INFO - 2014-06-30 - Sell @ 16.003999710083008
DEBUG - 2014-07-01 - Close price: 15.981332778930664
DEBUG - 2014-07-02 - Close price: 15.295332908630373
INFO - 2014-07-02 - Buy @ 15.295332908630373
DEBUG - 2014-07-03 - Close price: 15.283332824707031
INFO - 2014-07-03 - Buy @ 15.283332824707031
DEBUG - 2014-07-07 - Close price: 14.843999862670898
INFO - 2014-07-07 - Buy @ 14.843999862670898
DEBUG - 2014-07-08 - Close price: 14.604666709899902
INFO - 2014-07-08 - Buy @ 14.604666709899902
DEBUG - 2014-07-09 - Close price: 14.870667457580566
DEBUG - 2014-07-10 - Close price: 14.630666732788086
DEBUG - 2014-07-11 - Close price: 14.541999816894531
INFO - 2014-07-11 - Buy @ 14.541999816894531
DEBUG - 2014-07-14 - Close price: 15.113332748413086
DEBUG - 2014-07-15 - Close price: 14.638667106628418
DEBUG - 2014-07-16 - Close price: 14.477333068847656
INFO - 2014-07-16 - Buy @ 14.477333068847656
DEBUG - 2014-07-17 - Close price: 14.359999656677246
INFO - 2014-07-17 - Buy @ 14.359999656677246
DEBUG - 2014-07-18 - Close price: 14.66800022125244
DEBUG - 2014-07-21 - Close price: 14.702667236328123
INFO - 2014-07-21 - Sell @ 14.702667236328123
DEBUG - 2014-07-22 - Close price: 14.638667106628418
DEBUG - 2014-07-23 - Close price: 14.832667350769045
DEBUG - 2014-07-24 - Close price: 14.902667045593262
INFO - 2014-07-24 - Sell @ 14.902667045593262
DEBUG - 2014-07-25 - Close price: 14.904666900634766
INFO - 2014-07-25 - Sell @ 14.904666900634766
DEBUG - 2014-07-28 - Close price: 14.98799991607666
INFO - 2014-07-28 - Sell @ 14.98799991607666
DEBUG - 2014-07-29 - Close price: 15.000666618347168
INFO - 2014-07-29 - Sell @ 15.000666618347168
DEBUG - 2014-07-30 - Close price: 15.261333465576172
INFO - 2014-07-30 - Sell @ 15.261333465576172
DEBUG - 2014-07-31 - Close price: 14.886667251586914
DEBUG - 2014-08-01 - Close price: 15.5513334274292
DEBUG - 2014-08-04 - Close price: 15.90133285522461
INFO - 2014-08-04 - Sell @ 15.90133285522461
DEBUG - 2014-08-05 - Close price: 15.899333000183104
DEBUG - 2014-08-06 - Close price: 16.595333099365234
DEBUG - 2014-08-07 - Close price: 16.826000213623047
INFO - 2014-08-07 - Sell @ 16.826000213623047
DEBUG - 2014-08-08 - Close price: 16.54199981689453
DEBUG - 2014-08-11 - Close price: 17.288000106811523
DEBUG - 2014-08-12 - Close price: 17.33066749572754
INFO - 2014-08-12 - Sell @ 17.33066749572754
DEBUG - 2014-08-13 - Close price: 17.354000091552734
INFO - 2014-08-13 - Sell @ 17.354000091552734
DEBUG - 2014-08-14 - Close price: 17.42533302307129
INFO - 2014-08-14 - Sell @ 17.42533302307129
DEBUG - 2014-08-15 - Close price: 17.46733283996582
INFO - 2014-08-15 - Sell @ 17.46733283996582
DEBUG - 2014-08-18 - Close price: 17.32933235168457
DEBUG - 2014-08-19 - Close price: 17.117332458496094
INFO - 2014-08-19 - Buy @ 17.117332458496094
DEBUG - 2014-08-20 - Close price: 17.047332763671875
INFO - 2014-08-20 - Buy @ 17.047332763671875
DEBUG - 2014-08-21 - Close price: 16.95599937438965
INFO - 2014-08-21 - Buy @ 16.95599937438965
DEBUG - 2014-08-22 - Close price: 17.118667602539062
DEBUG - 2014-08-25 - Close price: 17.503332138061523
INFO - 2014-08-25 - Sell @ 17.503332138061523
DEBUG - 2014-08-26 - Close price: 17.44933319091797
DEBUG - 2014-08-27 - Close price: 17.549999237060547
DEBUG - 2014-08-28 - Close price: 17.590667724609375
INFO - 2014-08-28 - Sell @ 17.590667724609375
DEBUG - 2014-08-29 - Close price: 17.979999542236328
INFO - 2014-08-29 - Sell @ 17.979999542236328
DEBUG - 2014-09-02 - Close price: 18.941333770751957
INFO - 2014-09-02 - Sell @ 18.941333770751957
DEBUG - 2014-09-03 - Close price: 18.746000289916992
DEBUG - 2014-09-04 - Close price: 19.06933212280273
DEBUG - 2014-09-05 - Close price: 18.49266624450684
DEBUG - 2014-09-08 - Close price: 18.80733299255371
DEBUG - 2014-09-09 - Close price: 18.565332412719727
DEBUG - 2014-09-10 - Close price: 18.739999771118164
DEBUG - 2014-09-11 - Close price: 18.687332153320312
DEBUG - 2014-09-12 - Close price: 18.61333274841309
INFO - 2014-09-12 - Buy @ 18.61333274841309
DEBUG - 2014-09-15 - Close price: 16.923999786376953
INFO - 2014-09-15 - Buy @ 16.923999786376953
DEBUG - 2014-09-16 - Close price: 17.382667541503906
DEBUG - 2014-09-17 - Close price: 17.42533302307129
INFO - 2014-09-17 - Sell @ 17.42533302307129
DEBUG - 2014-09-18 - Close price: 17.58799934387207
INFO - 2014-09-18 - Sell @ 17.58799934387207
DEBUG - 2014-09-19 - Close price: 17.288000106811523
DEBUG - 2014-09-22 - Close price: 16.66866683959961
INFO - 2014-09-22 - Buy @ 16.66866683959961
DEBUG - 2014-09-23 - Close price: 16.694000244140625
DEBUG - 2014-09-24 - Close price: 16.80933380126953
INFO - 2014-09-24 - Sell @ 16.80933380126953
DEBUG - 2014-09-25 - Close price: 16.463333129882812
DEBUG - 2014-09-26 - Close price: 16.440000534057617
INFO - 2014-09-26 - Buy @ 16.440000534057617
DEBUG - 2014-09-29 - Close price: 16.35066795349121
INFO - 2014-09-29 - Buy @ 16.35066795349121
DEBUG - 2014-09-30 - Close price: 16.178667068481445
INFO - 2014-09-30 - Buy @ 16.178667068481445
DEBUG - 2014-10-01 - Close price: 16.016000747680664
INFO - 2014-10-01 - Buy @ 16.016000747680664
DEBUG - 2014-10-02 - Close price: 16.761333465576172
